p_val_adj,cluster,gene,
6.91E-151,0,pvalb1,
1.76E-136,0,cryba4,
3.52E-125,0,tnni2a.4,
6.06E-111,0,pax7b,
7.58E-108,0,myhz1.3,
3.93E-105,0,pax7a,
3.09E-48,0,tnni2b.1,
5.69E-43,0,mylpfb,
6.70E-26,0,tnnt2c,
1.19E-08,0,cryba1b,
1,0,crybb1,
0,1,CABZ01072614.1,
0,1,LOC101885394,
0,1,cryba4,
0,1,cxcr4a,
0,1,stm,
0,1,znfl2a,
0,1,abcb10,
0,1,zgc:66479,
4.28E-304,1,CABZ01045617.1,
1.71E-292,1,XLOC-043834,
1.19E-220,1,hspb1,
5.01E-198,1,cryba1l1,
2.56E-155,1,LOC110439627,
4.90E-142,1,lim2.1,
3.64E-124,1,twist1a,
1.27E-121,1,crybb1l1,
1.13E-118,1,si:ch211-152c2.3,
1.33E-72,1,XLOC-042971,
5.61E-61,1,cryba2b,
2.78E-59,1,hoxc13b,
1.53E-27,1,msgn1,
2.36E-22,1,tbx16,shouldn't be at 24hpf?
2.24E-20,1,crybb1,
6.07E-192,2,pax7b,
5.66E-188,2,casz1,
6.96E-171,2,otx2b,
4.73E-155,2,cyp26b1,
1.82E-150,2,olig3,
8.45E-150,2,en2a,
3.46E-145,2,en2b,
2.30E-140,2,pax7a,
1.59E-128,2,pax5,
4.80E-101,2,cdh6,
3.33E-98,2,tcf7l2,
1.55E-84,2,dbx1b,neural posterior - ventral hindbrain
4.98E-75,2,fabp7a,neural posterior - floorplate 
4.97E-57,2,dbx1a,
6.30E-53,2,XLOC-032526,
1.80E-41,2,XLOC-042971,
5.98E-33,2,XLOC-026578,
2.49E-16,2,myca,
3.69E-14,2,egr2b,
1,2,fsta,
9.82E-162,3,pmp22a,
6.33E-146,3,col1a2,mesoderm - emp2
7.70E-146,3,foxd2,
8.89E-131,3,fkbp7,
2.79E-129,3,krt18a.1,
7.11E-125,3,meox1,
4.59E-118,3,lrrc17,
5.61E-116,3,col1a1b,
8.25E-116,3,cnmd,
3.17E-101,3,cyp27c1,
1.11E-95,3,fmoda,
8.62E-86,3,fibina,
1.41E-84,3,krt8,
3.45E-84,3,cthrc1a,
5.26E-80,3,bmp5,
2.82E-79,3,nkx3-1,
4.41E-78,3,si:ch73-86n18.1,
2.84E-77,3,sost,
1.95E-74,3,krt18b,
8.51E-74,3,tuba8l3,
8.07E-72,3,tgfb3,
1.50E-71,3,vwde,
1.59E-71,3,postnb,mesoderm - emp2
9.15E-66,3,zgc:162612,
2.79E-65,3,cd248b,
2.43E-64,3,grem2b,
2.14E-60,3,col5a1,
3.14E-56,3,nkx3.2,
9.61E-55,3,tgfbi,mesoderm - emp2
9.31E-52,3,emp2,
4.23E-51,3,hlx1,
1.03E-47,3,rbp7b,
1.04E-45,3,col6a1,
3.16E-45,3,flna,
4.12E-45,3,rbp5,
2.25E-41,3,dcn,
1.81E-36,3,arpc1b,
2.42E-33,3,foxf2a,
4.02E-32,3,rcn3,
6.05E-30,3,barx1,
8.17E-29,3,ednrab,
8.22E-27,3,lsp1,
9.53E-25,3,aldh1a2,
6.06E-23,3,alx1,
9.34E-23,3,foxd1,
2.82E-22,3,sult1st1,
7.65E-21,3,col2a1b,
1.08E-20,3,en1b,
2.46E-19,3,pdgfrl,
2.69E-19,3,twist1b,
1.03E-14,3,hoxb9a,
4.58E-13,3,rdh10a,
1.30E-12,3,hand2,
2.49E-12,3,sult6b1,
3.12E-12,3,apela,
5.62E-12,3,tuba8l2,
9.34E-12,3,cyr61,
1.76E-10,3,angptl7,
7.78E-10,3,col1a1a,mesoderm - emp2
1.32E-08,3,fkbp11,
1.67E-08,3,ckap4,
2.55E-08,3,cxcl12a,
2.89E-07,3,col5a2a,
2.92E-06,3,glula,
5.43E-06,3,jcada,
6.20E-06,3,ndnf,
1.18E-05,3,tnn,
1.68E-05,3,foxl1,
6.14E-05,3,tbx15,
0.00152310489427718,3,pleca,
0.00155475100113891,3,tnc,
0.00155630550185879,3,en1a,
0.0027346253736819,3,inka1a,
0.00273602858182555,3,twist1a,
0.0187230204105628,3,tmem88b,
0.0216961540552505,3,eya1,
0.12440316738968,3,adra1ba,
0.17420260835734,3,ca6,
1,3,si:dkey-261h17.1,
1,3,serpinh1b,
1,3,hapln1a,
1,3,ccl25b,
1,3,fkbp9,
1,3,alx4a,here
4.17E-226,4,si:ch73-265d7.2,
1.51E-214,4,smkr1,
2.50E-214,4,nkx2.9,midbrain ventral
4.90E-171,4,si:ch73-21g5.7,
4.90E-169,4,cfap45,
7.64E-162,4,ccdc173,
1.96E-156,4,olig2,
8.71E-148,4,foxa2,
4.60E-147,4,LOC798783,
1.29E-141,4,sulf2b,
3.25E-141,4,itgb4,
4.02E-139,4,nkx6.1,
4.03E-137,4,hapln1a,
6.97E-137,4,foxj1a,
2.00E-123,4,vim,
2.10E-120,4,pth1a,
1.31E-116,4,sh3bgr,
1.43E-111,4,CR812832.1,
2.10E-108,4,fosb,
2.84E-108,4,nkx2.2b,
2.58E-103,4,bicc2,
3.26E-102,4,col11a1a,
1.89E-100,4,nkx2.2a,
1.55E-97,4,dlb,
1.81E-96,4,hoxb8a,
7.44E-92,4,zgc:113531,
2.39E-87,4,hoxb6b,
2.45E-85,4,si:ch211-251b21.1,
9.87E-84,4,col28a2a,
1.08E-74,4,fabp7a,
1.03E-71,4,elavl3,
3.85E-69,4,ndnf,
2.81E-68,4,proca1,
2.16E-66,4,helt,
2.21E-65,4,col8a1a,
3.68E-64,4,spon1b,
4.04E-62,4,dhrs3b,
8.16E-61,4,atf3,
3.38E-60,4,neurog1,
1.25E-57,4,col5a3a,
3.73E-55,4,fstl1a,
9.74E-55,4,phox2bb,
1.73E-54,4,chl1a,
6.75E-54,4,neurod4,
2.15E-53,4,col14a1a,
1.51E-49,4,hhip,
9.41E-46,4,tbx20,
5.73E-40,4,enkur,
1.63E-37,4,tm6sf2,
2.42E-35,4,shhb,
9.50E-35,4,ldlrad2,
5.26E-33,4,wnt11r,
3.79E-32,4,foxa,
8.43E-30,4,cdh6,
1.75E-29,4,podxl,
1.20E-26,4,col4a6,
9.79E-26,4,dmrta2,
1.56E-25,4,optc,
1.76E-25,4,col4a5,
6.80E-25,4,adamts3,
1.29E-24,4,col18a1a,
4.93E-24,4,cdx4,
7.06E-23,4,si:ch211-163l21.7,
9.47E-23,4,ntn1b,
1.24E-22,4,cyp26b1,
1.48E-22,4,tbata,
4.91E-20,4,plxna4,
3.28E-19,4,hoxb9a,
